"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","class weights:","drop out","feature_extraction_config.data.batch_size","feature_extraction_config.data.mask_threshold","feature_extraction_config.data.target_mpp","feature_extraction_config.data.tile_overlap","feature_extraction_config.data.tile_size","feature_extraction_config.model.feature_dim","feature_extraction_config.model.name","hidden_dim","k_folds","lr","nr_epochs","wd","epoch","final_val_HGD_auc","final_val_HGD_f1","final_val_HGD_precision","final_val_HGD_recall","final_val_LGD_auc","final_val_LGD_f1","final_val_LGD_precision","final_val_LGD_recall","final_val_NDBE_auc","final_val_NDBE_f1","final_val_NDBE_precision","final_val_NDBE_recall","final_val_accuracy","fold/convergence_epoch","fold/loss_instability","fold/val_accuracy","summary/mean_convergence_epoch","summary/mean_loss_instability","summary/mean_val_accuracy","summary/val_accuracy_variance","train_accuracy_epoch","train_accuracy_step","train_loss_epoch","train_loss_step","trainer/global_step","val_accuracy","val_loss"
"convmetrics_Pathologist_16_fold_5","finished","-","","","2025-05-05T14:04:45.000Z","42377","","1","[0.7777777910232544,0.8348624110221863,1.936170220375061]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9048951268196106","0.695652186870575","0.800000011920929","0.6153846383094788","0.7732610702514648","0.6875","0.5945945978164673","0.8148148059844971","0.8973214030265808","0.7346938848495483","0.8571428656578064","0.6428571343421936","0.7058823704719543","49","0.20052261354019313","1","89.0794701986755","NaN","0.9867549668874172","0.013069602210429371","0.9230769276618958","1","0.2377101331949234","0.019953712821006775","40950","0.6029411554336548","0.9145112037658693"
"convmetrics_Pathologist_16_fold_4","finished","-","","","2025-05-05T14:04:31.000Z","42161","","1","[0.8272727131843567,0.8053097128868103,1.8200000524520872]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9068965315818788","0.5","0.6666666865348816","0.4000000059604645","0.6898550987243652","0.523809552192688","0.5789473652839661","0.47826087474823","0.8467532396316528","0.8205128312110901","0.7441860437393188","0.9142857193946838","0.6911764740943909","24","0.28528443688858235","1","107.90066225165565","NaN","0.9735099337748344","0.025788342616551906","0.8901098966598511","0","0.28452444076538086","1.6460094451904297","40950","0.6470588445663452","0.7813697457313538"
"convmetrics_Pathologist_16_fold_3","finished","-","","","2025-05-05T14:04:17.000Z","41946","","1","[0.8198198080062866,0.8348624110221863,1.7169811725616455]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9156908392906188","0.5333333611488342","0.5","0.5714285969734192","0.8211382031440735","0.7307692170143127","0.7599999904632568","0.7037037014961243","0.9316608905792236","0.8985507488250732","0.8857142925262451","0.911764681339264","0.7941176295280457","106","0.3635850509755532","1","97.04635761589404","NaN","0.9933774834437086","0.0065786588307530395","0.8937729001045227","1","0.3064208924770355","0.11429797112941742","40950","0.7647058963775635","0.6650901436805725"
"convmetrics_Pathologist_16_fold_2","finished","-","","","2025-05-05T14:04:02.000Z","41725","","1","[0.7222222089767456,0.875,2.116279125213623]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9388696551322936","0.8235294222831726","0.8235294222831726","0.8235294222831726","0.8446180820465088","0.800000011920929","0.7878788113594055","0.8125","0.94844251871109","0.8108108043670654","0.8333333134651184","0.7894737124443054","0.8088235259056091","25","0.3581508031373638","1","95.75496688741724","NaN","0.913907284768212","0.07868075961580631","0.9230769276618958","1","0.2703976035118103","0.03557344898581505","40950","0.6764705777168274","0.7676168084144592"
"convmetrics_Pathologist_16_fold_1","finished","-","","","2025-05-05T14:03:48.000Z","41495","","1","[0.7816091775894165,0.8318042755126953,1.9290779829025269]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.8873626589775085","0.5","0.46666666865348816","0.5384615659713745","0.7971781492233276","0.6153846383094788","0.6399999856948853","0.5925925970077515","0.9215517044067384","0.8620689511299133","0.8620689511299133","0.8620689511299133","0.695652186870575","24","0.27883868210694923","1","96.13907284768212","NaN","0.5562913907284768","0.246831279329854","0.904411792755127","1","0.26984864473342896","0.3913290202617645","40800","0.7246376872062683","0.7780612707138062"
"convmetrics_Pathologist_15_fold_5","finished","-","","","2025-05-05T14:03:15.000Z","41267","","1","[0.6822916865348816,0.8866328001022339,2.4600939750671387]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9532710313796996","0.2222222238779068","1","0.125","0.7429667711257935","0.6105263233184814","0.5918367505073547","0.6304348111152649","0.898126482963562","0.8571428656578064","0.7594936490058899","0.9836065769195556","0.7022900581359863","6","0.14751402536894528","1","47.29801324503311","NaN","0.9933774834437086","0.0065786588307530395","0.9790076613426208","1","0.10247281193733215","0.04267052561044693","78600","0.7786259651184082","0.7332215905189514"
"convmetrics_Pathologist_15_fold_4","finished","-","","","2025-05-05T14:02:53.000Z","40848","","1","[0.7014725804328918,0.8646864891052246,2.3926939964294434]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9516263604164124","0.3703703582286834","1","0.22727273404598236","0.8135501146316528","0.6136363744735718","0.5744680762290955","0.6585366129875183","0.9418767690658568","0.8707482814788818","0.8101266026496887","0.9411764740943908","0.732824444770813","31","0.27601586929782257","1","55.86754966887417","NaN","0.9933774834437086","0.0065786588307530395","0.9599236845970154","1","0.1523897647857666","0.028082383796572685","78600","0.7480915784835815","0.6302703619003296"
"convmetrics_Pathologist_15_fold_3","finished","-","","","2025-05-05T14:02:32.000Z","40434","","1","[0.6903820633888245,0.9241622686386108,2.1300814151763916]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.9465450048446656","0.1428571492433548","1","0.07692307978868484","0.8624338507652283","0.7454545497894287","0.7321428656578064","0.7592592835426331","0.920708954334259","0.8695651888847351","0.8108108043670654","0.9375","0.7786259651184082","22","0.27731141593583214","1","56.52317880794702","NaN","0.9867549668874172","0.013069602210429371","0.9561068415641784","1","0.152538999915123","0.09764732420444489","78600","0.8396946787834167","0.5555189847946167"
"convmetrics_Pathologist_15_fold_2","finished","-","","","2025-05-05T14:02:10.000Z","40020","","1","[0.6958831548690796,0.8866328001022339,2.298245668411255]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.970394730567932","0.27272728085517883","1","0.15789473056793213","0.8447570204734802","0.7346938848495483","0.692307710647583","0.782608687877655","0.9377622604370116","0.9154929518699646","0.8552631735801697","0.9848484992980956","0.7938931584358215","7","0.35461888396334196","1","56.12582781456954","NaN","0.304635761589404","0.21183281435024784","0.9675572514533995","1","0.15131205320358276","0.023653823882341385","78600","0.7786259651184082","0.6393946409225464"
"convmetrics_Pathologist_15_fold_1","finished","-","","","2025-05-05T14:01:47.000Z","39609","","1","[0.6743886470794678,0.9340463280677797,2.23931622505188]","0","64","0.1","1","[0,0]","[224,224]","2560","hf-hub:paige-ai/Virchow2","16","5","0.00001","150","0.00001","150","0.8926728367805481","0.10526315867900848","0.5","0.05882352963089943","0.7721428275108337","0.6779661178588867","0.6451612710952759","0.7142857313156128","0.8807274699211121","0.8159999847412109","0.7611940503120422","0.8793103694915771","0.7022900581359863","10","0.33413960061738135","1","54.54304635761589","NaN","0.9933774834437086","0.0065786588307530395","0.9484732747077942","1","0.17778857052326202","0.1250496357679367","78600","0.7786259651184082","0.6282249689102173"
