model,fold,val_loss_slope,val_loss_std,val_loss_converged,val_accuracy_slope,val_accuracy_std,val_accuracy_converged
6,1,0.0006092654936241548,0.004399139224367264,True,-0.00077921910719438,0.004285705089569092,True
6,2,0.0009344942641980868,0.0035220266903575543,True,4.97815319162344e-17,0.0,True
6,3,0.0016501060037901764,0.005933136924227879,True,-0.00043290131019819544,0.004285722970962524,True
6,4,0.00021457509561018527,0.002165333141055683,True,-0.000614843946514723,0.006641412467224136,False
6,5,0.004640889529025902,0.014243748279060118,False,0.0002635045485062775,0.009279887986679806,False
7,1,0.00227243972547128,0.008099855261496714,True,0.0007688822168292593,0.008208948373794555,False
7,2,0.0031577908631527313,0.010511112923529622,False,-0.0001356850970874833,0.00223880410194397,True
7,3,0.005274535670424971,0.015768993265442722,False,0.0005468191522540519,0.010087521771025355,False
7,4,0.0018248525532809298,0.006035644375067561,True,-0.00041011824752339545,0.010336621754147303,False
7,5,0.004503416653835424,0.013673506819147398,False,-0.0004556861790743462,0.007518804073345552,False
8,1,0.0017774842002175426,0.00800643920588322,True,-0.003636361252177849,0.02561248834851095,False
8,2,0.0005792028976209446,0.0026431348212399546,True,2.4979974323762137e-17,0.0,True
8,3,0.00047371116551487,0.0031889182985113214,True,-0.0029090881347655973,0.019595899254141774,False
8,4,0.0014049732323848847,0.004244989966856717,True,2.4978631355109098e-17,0.0,True
8,5,0.0069622690027410445,0.020095069454823526,False,0.006060608950528252,0.020412424256590882,False
9,1,0.0013971556316722431,0.0047762052631597765,True,0.00022172927856442922,0.008536577224731445,False
9,2,0.0007635810158469487,0.004928274899033943,True,0.0002956390380859257,0.009756088256835938,False
9,3,0.0009133071610422184,0.002738646456492324,True,0.0022912025451659935,0.0095246856432587,False
9,4,0.0021118409705884775,0.008683910464299619,True,0.0008869221716216274,0.012436646816244309,False
9,5,0.002750421292854108,0.010218717640284597,False,-0.0014216242414532316,0.014022010648550713,False
10,1,0.003865605050867283,0.013251548075261979,False,-0.0007301933837659127,0.007619945885239502,False
10,2,0.001625858653675426,0.007158249448495292,True,-0.0004016095941716348,0.00783133598475537,False
10,3,0.005025662436629739,0.01778603373836189,False,0.0005841540567802925,0.004666241936024834,True
10,4,0.003332785404089717,0.015176462158517532,False,-0.00047462347782019685,0.017961510967089592,False
10,5,0.0015713590564149843,0.0070483559472075095,True,0.0015426982532848155,0.008656268627813303,False
11,1,0.0008923212687174303,0.00351099848119462,True,0.0008176998658613994,0.00731709672325091,False
11,2,0.002750226223107544,0.015135739581029678,False,-4.810058709347083e-05,0.01179846635606893,False
11,3,0.002097428928722034,0.007788072904921546,True,0.0006253011298902396,0.00508185131150992,False
11,4,0.003228169499021567,0.011702024565168962,False,-0.0013948993249372995,0.01252359470474996,False
11,5,0.001958658117236517,0.012194936558005758,False,-4.8103477015605405e-05,0.005555553095700903,False
12,1,0.0033884077361135854,0.010228831970368777,False,-0.00033905433885981064,0.005594396591186524,False
12,2,0.0017228560014204666,0.0065472658673918676,True,-0.0019495714794505743,0.006096379696265769,False
12,3,0.0041354840452020964,0.013417832544004946,False,4.025703440962658e-17,0.0,True
12,4,0.003553809902884741,0.01077693058536296,False,-0.0007255662571300138,0.00893562608447679,False
12,5,0.001345572327122551,0.00724370382802182,True,4.268017682163608e-05,0.0021126687526702883,True
13,1,0.0029853838862794716,0.009122628869618326,True,0.0013138413429260234,0.007942540513191645,False
